/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
global step=7264, episodic return=6.0
global step=7312, episodic return=2.0
global step=7376, episodic return=3.0
global step=7380, episodic return=2.0
global step=7392, episodic return=8.0
global step=7484, episodic return=3.0
global step=7540, episodic return=6.0
global step=7684, episodic return=10.0
global step=7744, episodic return=18.0
global step=7748, episodic return=10.0
global step=7892, episodic return=12.0
global step=7896, episodic return=6.0
global step=8000, episodic return=4.0
global step=8012, episodic return=6.0
global step=8108, episodic return=4.0
global step=8124, episodic return=7.0
global step=8156, episodic return=16.0
global step=8176, episodic return=2.0
global step=8192, episodic return=2.0
global step=8264, episodic return=4.0
global step=8324, episodic return=6.0
global step=8376, episodic return=6.0
global step=8392, episodic return=2.0
global step=8444, episodic return=14.0
global step=8504, episodic return=4.0
global step=8532, episodic return=10.0
global step=8608, episodic return=9.0
global step=8656, episodic return=5.0
global step=8688, episodic return=6.0
global step=8764, episodic return=6.0
global step=8840, episodic return=7.0
global step=8912, episodic return=7.0
global step=9032, episodic return=8.0
global step=9060, episodic return=14.0
global step=9060, episodic return=6.0
global step=9184, episodic return=2.0
global step=9264, episodic return=15.0
global step=9332, episodic return=10.0
global step=9408, episodic return=6.0
global step=9480, episodic return=13.0
global step=9524, episodic return=7.0
global step=9548, episodic return=2.0
global step=9592, episodic return=5.0
global step=9620, episodic return=2.0
global step=9632, episodic return=3.0
global step=9728, episodic return=4.0
global step=9784, episodic return=3.0
global step=9816, episodic return=15.0
global step=9840, episodic return=4.0
global step=9852, episodic return=2.0
