global step=101560, episodic return=-500.0
global step=101948, episodic return=-500.0
global step=102000, episodic return=-500.0
global step=102000, episodic return=-500.0
global step=103560, episodic return=-500.0
global step=103724, episodic return=-430.0
global step=103948, episodic return=-500.0
global step=104000, episodic return=-500.0
global step=105560, episodic return=-500.0
global step=105724, episodic return=-500.0
global step=105948, episodic return=-500.0
global step=106000, episodic return=-500.0
global step=107560, episodic return=-500.0
global step=107724, episodic return=-500.0
global step=107948, episodic return=-500.0
global step=108000, episodic return=-500.0
global step=109560, episodic return=-500.0
global step=109724, episodic return=-500.0
global step=109948, episodic return=-500.0
global step=110000, episodic return=-500.0
global step=111416, episodic return=-463.0
global step=111724, episodic return=-500.0
global step=111948, episodic return=-500.0
global step=112000, episodic return=-500.0
global step=113416, episodic return=-500.0
global step=113724, episodic return=-500.0
global step=113948, episodic return=-500.0
global step=114000, episodic return=-500.0
global step=115416, episodic return=-500.0
global step=115724, episodic return=-500.0
global step=115948, episodic return=-500.0
global step=116000, episodic return=-500.0
global step=117416, episodic return=-500.0
global step=117724, episodic return=-500.0
global step=117948, episodic return=-500.0
global step=118000, episodic return=-500.0
global step=119320, episodic return=-475.0
global step=119724, episodic return=-500.0
global step=119948, episodic return=-500.0
global step=120000, episodic return=-500.0
global step=120324, episodic return=-250.0
global step=121724, episodic return=-500.0
global step=121948, episodic return=-500.0
global step=122000, episodic return=-500.0
global step=122236, episodic return=-477.0
global step=123720, episodic return=-498.0
global step=123904, episodic return=-475.0
global step=123948, episodic return=-500.0
global step=124108, episodic return=-467.0
global step=125720, episodic return=-500.0
global step=125904, episodic return=-500.0
global step=125948, episodic return=-500.0
global step=126108, episodic return=-500.0
global step=127388, episodic return=-319.0
global step=127720, episodic return=-500.0
global step=127904, episodic return=-500.0
global step=127948, episodic return=-500.0
global step=129032, episodic return=-327.0
global step=129388, episodic return=-500.0
global step=129904, episodic return=-500.0
global step=129948, episodic return=-500.0
global step=131032, episodic return=-500.0
global step=131388, episodic return=-500.0
global step=131904, episodic return=-500.0
global step=131948, episodic return=-500.0
global step=132484, episodic return=-362.0
global step=133128, episodic return=-305.0
global step=133272, episodic return=-330.0
global step=133388, episodic return=-500.0
global step=134212, episodic return=-431.0
global step=134524, episodic return=-312.0
global step=135128, episodic return=-500.0
global step=135388, episodic return=-500.0
global step=136212, episodic return=-500.0
global step=136524, episodic return=-500.0
global step=136656, episodic return=-381.0
global step=137104, episodic return=-428.0
global step=137816, episodic return=-400.0
global step=138524, episodic return=-500.0
global step=138656, episodic return=-500.0
global step=138920, episodic return=-453.0
global step=139816, episodic return=-500.0
global step=139868, episodic return=-302.0
global step=140524, episodic return=-500.0
global step=140920, episodic return=-500.0
global step=141172, episodic return=-338.0
global step=141620, episodic return=-437.0
global step=141892, episodic return=-341.0
global step=142468, episodic return=-386.0
global step=142812, episodic return=-297.0
global step=143172, episodic return=-500.0
global step=143800, episodic return=-476.0
global step=144248, episodic return=-444.0
global step=144748, episodic return=-236.0
global step=144812, episodic return=-500.0
global step=145172, episodic return=-500.0
global step=145456, episodic return=-301.0
global step=145864, episodic return=-262.0
global step=145960, episodic return=-302.0
global step=146304, episodic return=-282.0
global step=147232, episodic return=-443.0
global step=147264, episodic return=-349.0
global step=147560, episodic return=-313.0
global step=147572, episodic return=-402.0
global step=148844, episodic return=-317.0
global step=148980, episodic return=-436.0
global step=149004, episodic return=-360.0
global step=149112, episodic return=-461.0
global step=150388, episodic return=-351.0
global step=150524, episodic return=-352.0
global step=150632, episodic return=-446.0
global step=150896, episodic return=-472.0
global step=151860, episodic return=-333.0
global step=152060, episodic return=-417.0
global step=152324, episodic return=-356.0
global step=152632, episodic return=-500.0
global step=152868, episodic return=-251.0
global step=153384, episodic return=-264.0
global step=153536, episodic return=-368.0
global step=154008, episodic return=-343.0
global step=154684, episodic return=-324.0
global step=154836, episodic return=-324.0
global step=154868, episodic return=-500.0
global step=155276, episodic return=-316.0
global step=155952, episodic return=-316.0
global step=155992, episodic return=-280.0
global step=156068, episodic return=-307.0
global step=156352, episodic return=-268.0
global step=157216, episodic return=-286.0
global step=157300, episodic return=-336.0
global step=157412, episodic return=-354.0
global step=157684, episodic return=-332.0
global step=158336, episodic return=-258.0
global step=158456, episodic return=-260.0
global step=158516, episodic return=-324.0
global step=158820, episodic return=-283.0
global step=159364, episodic return=-256.0
global step=159372, episodic return=-213.0
global step=159604, episodic return=-195.0
global step=159640, episodic return=-295.0
global step=160104, episodic return=-184.0
global step=160580, episodic return=-234.0
global step=160640, episodic return=-258.0
global step=160776, episodic return=-167.0
global step=161052, episodic return=-419.0
global step=161664, episodic return=-152.0
global step=161692, episodic return=-277.0
global step=161708, episodic return=-266.0
global step=162408, episodic return=-178.0
global step=162632, episodic return=-241.0
global step=162776, episodic return=-500.0
global step=163124, episodic return=-353.0
global step=163176, episodic return=-191.0
global step=163788, episodic return=-252.0
global step=163852, episodic return=-304.0
global step=163900, episodic return=-180.0
global step=164228, episodic return=-275.0
global step=164712, episodic return=-202.0
global step=164820, episodic return=-257.0
global step=164944, episodic return=-272.0
global step=165468, episodic return=-161.0
global step=165528, episodic return=-203.0
global step=165608, episodic return=-344.0
global step=165824, episodic return=-219.0
global step=166360, episodic return=-207.0
global step=166396, episodic return=-231.0
global step=166672, episodic return=-265.0
global step=166864, episodic return=-259.0
global step=167272, episodic return=-227.0
global step=167536, episodic return=-284.0
global step=167672, episodic return=-249.0
global step=167692, episodic return=-206.0
global step=168112, episodic return=-209.0
global step=168344, episodic return=-162.0
global step=168532, episodic return=-248.0
global step=168576, episodic return=-225.0
global step=169068, episodic return=-180.0
global step=169104, episodic return=-247.0
global step=169364, episodic return=-207.0
global step=169544, episodic return=-241.0
global step=169952, episodic return=-220.0
global step=169976, episodic return=-152.0
global step=170148, episodic return=-150.0
global step=170540, episodic return=-140.0
global step=170712, episodic return=-189.0
global step=170880, episodic return=-182.0
global step=170908, episodic return=-450.0
global step=171072, episodic return=-132.0
global step=171400, episodic return=-171.0
global step=171492, episodic return=-145.0
global step=171592, episodic return=-177.0
global step=172000, episodic return=-126.0
global step=172056, episodic return=-245.0
global step=172212, episodic return=-202.0
global step=172388, episodic return=-198.0
global step=172796, episodic return=-184.0
global step=172832, episodic return=-207.0
global step=172972, episodic return=-189.0
global step=173256, episodic return=-216.0
global step=173440, episodic return=-160.0
global step=173580, episodic return=-186.0
global step=173776, episodic return=-200.0
global step=173980, episodic return=-180.0
global step=174056, episodic return=-153.0
global step=174176, episodic return=-148.0
global step=174456, episodic return=-169.0
global step=174528, episodic return=-136.0
global step=174736, episodic return=-169.0
global step=174940, episodic return=-190.0
global step=174960, episodic return=-125.0
global step=175316, episodic return=-144.0
global step=175396, episodic return=-216.0
global step=175704, episodic return=-190.0
global step=175752, episodic return=-197.0
global step=175948, episodic return=-157.0
global step=176012, episodic return=-153.0
global step=176368, episodic return=-153.0
global step=176560, episodic return=-213.0
global step=176680, episodic return=-166.0
global step=176832, episodic return=-220.0
global step=176868, episodic return=-124.0
global step=177256, episodic return=-173.0
global step=177460, episodic return=-156.0
global step=177584, episodic return=-225.0
global step=177600, episodic return=-182.0
global step=177936, episodic return=-169.0
global step=177964, episodic return=-125.0
global step=178160, episodic return=-143.0
global step=178284, episodic return=-170.0
global step=178584, episodic return=-154.0
global step=178688, episodic return=-131.0
global step=178788, episodic return=-212.0
global step=178924, episodic return=-159.0
global step=179108, episodic return=-130.0
global step=179264, episodic return=-118.0
global step=179304, episodic return=-153.0
global step=179508, episodic return=-145.0
global step=179648, episodic return=-134.0
global step=179792, episodic return=-131.0
global step=179944, episodic return=-159.0
global step=180268, episodic return=-154.0
global step=180328, episodic return=-204.0
global step=180396, episodic return=-150.0
global step=180568, episodic return=-155.0
global step=180792, episodic return=-98.0
global step=180864, episodic return=-133.0
global step=180892, episodic return=-155.0
global step=181048, episodic return=-119.0
global step=181356, episodic return=-140.0
global step=181464, episodic return=-142.0
global step=181508, episodic return=-160.0
global step=181576, episodic return=-131.0
global step=181884, episodic return=-131.0
global step=181944, episodic return=-119.0
global step=182016, episodic return=-126.0
global step=182320, episodic return=-185.0
global step=182484, episodic return=-134.0
global step=182584, episodic return=-141.0
global step=182772, episodic return=-112.0
global step=182808, episodic return=-230.0
global step=182944, episodic return=-114.0
global step=183176, episodic return=-147.0
global step=183340, episodic return=-141.0
global step=183464, episodic return=-163.0
global step=183620, episodic return=-168.0
global step=183756, episodic return=-144.0
global step=183992, episodic return=-162.0
global step=184000, episodic return=-133.0
global step=184280, episodic return=-164.0
