global step=6640, episodic return=36.0
global step=6640, episodic return=75.0
global step=6660, episodic return=40.0
global step=6780, episodic return=30.0
global step=6848, episodic return=52.0
global step=6872, episodic return=67.0
global step=6892, episodic return=63.0
global step=6996, episodic return=37.0
global step=7044, episodic return=43.0
global step=7064, episodic return=43.0
global step=7196, episodic return=33.0
global step=7236, episodic return=114.0
global step=7324, episodic return=82.0
global step=7384, episodic return=85.0
global step=7448, episodic return=31.0
global step=7468, episodic return=21.0
global step=7492, episodic return=74.0
global step=7576, episodic return=32.0
global step=7640, episodic return=101.0
global step=7648, episodic return=39.0
global step=7804, episodic return=41.0
global step=7896, episodic return=107.0
global step=7976, episodic return=82.0
global step=8036, episodic return=115.0
global step=8192, episodic return=74.0
global step=8236, episodic return=50.0
global step=8260, episodic return=114.0
global step=8292, episodic return=25.0
global step=8312, episodic return=84.0
global step=8356, episodic return=30.0
global step=8360, episodic return=25.0
global step=8444, episodic return=38.0
global step=8508, episodic return=38.0
global step=8540, episodic return=45.0
global step=8636, episodic return=48.0
global step=8664, episodic return=31.0
global step=8728, episodic return=104.0
global step=8888, episodic return=56.0
global step=9132, episodic return=61.0
global step=9188, episodic return=115.0
global step=9308, episodic return=44.0
global step=9468, episodic return=70.0
global step=9504, episodic return=249.0
global step=9668, episodic return=41.0
global step=9892, episodic return=146.0
global step=10136, episodic return=375.0
global step=10136, episodic return=167.0
global step=10200, episodic return=133.0
global step=10252, episodic return=29.0
global step=10412, episodic return=130.0
global step=10696, episodic return=71.0
global step=10708, episodic return=143.0
global step=10748, episodic return=124.0
global step=10908, episodic return=177.0
global step=11096, episodic return=87.0
global step=11144, episodic return=112.0
global step=11216, episodic return=77.0
global step=11376, episodic return=167.0
global step=11616, episodic return=100.0
global step=11692, episodic return=79.0
global step=11712, episodic return=24.0
global step=11796, episodic return=175.0
global step=12088, episodic return=236.0
global step=12148, episodic return=114.0
global step=12244, episodic return=133.0
global step=12380, episodic return=58.0
global step=12580, episodic return=196.0
global step=12660, episodic return=143.0
global step=12944, episodic return=141.0
global step=13092, episodic return=128.0
global step=13144, episodic return=225.0
global step=13284, episodic return=85.0
global step=13340, episodic return=170.0
global step=13588, episodic return=111.0
global step=13780, episodic return=124.0
global step=13804, episodic return=116.0
global step=13840, episodic return=187.0
global step=13956, episodic return=92.0
global step=14292, episodic return=113.0
global step=14380, episodic return=144.0
global step=14388, episodic return=152.0
global step=14580, episodic return=156.0
global step=15140, episodic return=140.0
global step=15172, episodic return=220.0
global step=15584, episodic return=111.0
global step=15616, episodic return=309.0
global step=15864, episodic return=369.0
global step=16168, episodic return=249.0
global step=16304, episodic return=180.0
global step=16728, episodic return=278.0
global step=16888, episodic return=146.0
global step=16972, episodic return=201.0
global step=17044, episodic return=295.0
global step=17320, episodic return=148.0
global step=17420, episodic return=133.0
global step=17668, episodic return=174.0
global step=17796, episodic return=119.0
global step=17976, episodic return=139.0
global step=18092, episodic return=106.0
global step=18200, episodic return=101.0
global step=18456, episodic return=120.0
global step=18564, episodic return=380.0
global step=18632, episodic return=135.0
global step=18812, episodic return=153.0
global step=18960, episodic return=99.0
global step=19224, episodic return=148.0
global step=19468, episodic return=164.0
global step=19592, episodic return=92.0
